"","Species_Name","Country","TwentyYearTotal","Rank"
"391","Chinese mitten crab","Netherlands (Kingdom of the)",230,401
"165","Tropical spiny lobsters nei","Egypt",226,402
"428","Marine crustaceans nei","Norway",225,403
"554","Green crab","Spain",218.89,404
"442","Marine crabs nei","Panama",213,405
"121","Slipper lobsters nei","Cote dIvoire",209,406
"287","Norway lobster","Isle of Man",206.66,407
"241","Marine crabs nei","Guinea-Bissau",201.05,408
"149","Marine crustaceans nei","Djibouti",199,409
"342","Marine crustaceans nei","Libya",198,410
"681","Tanner crabs nei","United States of America",193,411
"112","Marine crabs nei","Congo",189.38,412
"223","Marine crabs nei","Greece",184,413
"259","Marine crabs nei","Indonesia",183.08,414
"249","Marine crabs nei","Iceland",171.04,415
"629","Marine crustaceans nei","Ukraine",160.66,416
"457","Edible crab","Portugal",159.46,417
"394","Green crab","Netherlands (Kingdom of the)",159,418
"622","European lobster","Türkiye",158.5,419
"114","Marine crustaceans nei","Cook Islands",155,420
"624","Norway lobster","Türkiye",153.1,421
"581","American lobster","St. Pierre and Miquelon",152,422
"617","Norway lobster","Tunisia",150,423
"170","Tropical spiny lobsters nei","Equatorial Guinea",149,424
"368","Tropical spiny lobsters nei","Mauritius",146,425
"201","Spiny lobsters nei","France",135.74,426
"118","Tropical spiny lobsters nei","Costa Rica",135.02,427
"124","Common spiny lobster","Croatia",133.97,428
"48","Palinurid spiny lobsters nei","Belize",121,429
"367","Indo-Pacific swamp crab","Mauritius",119,430
"685","Marine crustaceans nei","Uruguay",119,431
"583","Marine crabs nei","Suriname",117,432
"51","Tropical spiny lobsters nei","Benin",115,433
"94","Marine crustaceans nei","Chile",115,434
"446","Indo-Pacific swamp crab","Papua New Guinea",113,435
"527","Slipper lobsters nei","Singapore",112.98,436
"458","European lobster","Portugal",106.76,437
"46","Black stone crab","Belize",105,438
"376","Indo-Pacific swamp crab","Micronesia (Fed. States)",100,439
"195","Palinurid spiny lobsters nei","France",99,440
"238","Marine crustaceans nei","Guatemala",98.24,441
"616","Mediterranean slipper lobster","Tunisia",98,442
"568","Palinurid spiny lobsters nei","Spain",97.91,443
"507","Marine crustaceans nei","Sao Tome and Principe",93,444
"14","Marine crustaceans nei","Angola",89,445
"116","Marine crabs nei","Costa Rica",87.13,446
"125","European lobster","Croatia",83.79,447
"92","King crabs, stone crabs nei","Chile",83,448
"493","Red vermillion crab","Russian Federation",83,449
"171","Portunus swimcrabs nei","Eritrea",81.71,450
"156","Green spiny lobster","Ecuador",81.39,451
"71","Tropical spiny lobsters nei","Cabo Verde",81,452
"620","Blue crab","Türkiye",80,453
"203","Indo-Pacific swamp crab","French Polynesia",78,454
"140","Palinurid spiny lobsters nei","Cyprus",77.05,455
"562","Maja spider crabs nei","Spain",76.21,456
"43","Marine crustaceans nei","Belgium",76.2,457
"438","Indo-Pacific swamp crab","Palau",76,458
"229","Batwing coral crab","Guadeloupe",75.57,459
"234","Spotted spiny lobster","Guadeloupe",75.25,460
"340","Senegalese smooth swimcrab","Liberia",75,461
"64","Marine crabs nei","Brunei Darussalam",73.04,462
"38","Flathead lobster","Bahrain",69,463
"528","Tropical spiny lobsters nei","Singapore",67.95,464
"470","Spiny lobsters nei","Portugal",66,465
"231","Channel-clinging crab","Guadeloupe",65.37,466
"196","Pink spiny lobster","France",63.31,467
"444","Swarming squat lobster","Panama",63,468
"494","Southern king crab","Russian Federation",62,469
"461","Lobsters nei","Portugal",61,470
"42","European lobster","Belgium",60.3,471
"127","Marine crustaceans nei","Croatia",60.16,472
"168","Tropical spiny lobsters nei","El Salvador",59.64,473
"53","Tropical spiny lobsters nei","Bermuda",59,474
"628","Marine crabs nei","Ukraine",59,475
"307","Globose king crab","Japan",56,476
"305","Antarctic stone crab","Japan",55,477
"483","Antarctic stone crab","Russian Federation",53,478
"174","Softshell red crab","Falkland Is.(Malvinas)",50,479
"481","Marine crabs nei","Reunion",50,480
"214","European lobster","Germany",49.44,481
"154","Blue crab","Ecuador",48.94,482
"109","Green spiny lobster","Colombia",48.92,483
"233","Slipper lobsters nei","Guadeloupe",43.41,484
"678","Slipper lobsters nei","United States of America",42,485
"521","Tropical spiny lobsters nei","Seychelles",40.16,486
"339","Marine crustaceans nei","Liberia",40.15,487
"22","Marine crustaceans nei","Argentina",39.31,488
"609","Tropical spiny lobsters nei","Togo",39,489
"204","Marine crustaceans nei","French Polynesia",38,490
"427","Marine crabs nei","Norway",35.64,491
"45","Spinous spider crab","Belgium",33.3,492
"198","Right-handed hermit crabs nei","France",32.48,493
"162","Stridulating stone crab","Ecuador",32.4,494
"396","Spinous spider crab","Netherlands (Kingdom of the)",32,495
"661","Banded spiny lobster","United States of America",31,496
"190","Lobsters nei","France",30.76,497
"426","Green crab","Norway",30.49,498
"334","Palinurid spiny lobsters nei","Latvia",28,499
"440","Tropical spiny lobsters nei","Palau",28,500
"518","Norway lobster","Serbia and Montenegro",28,501
"410","Swimming crabs, etc. nei","New Zealand",27.7,502
"475","Marine crabs nei","Puerto Rico",27.19,503
"443","Marine crustaceans nei","Panama",26,504
"464","Mediterranean slipper lobster","Portugal",24.07,505
"650","Red crab","United Kingdom",22.72,506
"333","Blue swimming crab","Kuwait",22,507
"655","Swarming squat lobster","United Kingdom",22,508
"702","Marine crabs nei","Wallis and Futuna Is.",21.5,509
"569","Pink spiny lobster","Spain",21.45,510
"534","King crabs, stone crabs nei","South Africa",21.02,511
"49","Caribbean spiny lobster","Benin",21,512
"703","Tropical spiny lobsters nei","Wallis and Futuna Is.",20.3,513
"350","Tropical spiny lobsters nei","Maldives",20,514
"135","Common spiny lobster","Cyprus",19.64,515
"637","Craylets, squat lobsters nei","United Kingdom",19.28,516
"351","Common spiny lobster","Malta",18.59,517
"646","Marine crustaceans nei","United Kingdom",18.02,518
"1","Common spiny lobster","Albania",18,519
"356","Norway lobster","Malta",17.96,520
"248","Tropical spiny lobsters nei","Honduras",17,521
"263","Purple mud crab","Indonesia",17,522
"516","European lobster","Serbia and Montenegro",16,523
"517","Marine crustaceans nei","Serbia and Montenegro",16,524
"11","Tropical spiny lobsters nei","American Samoa",15.32,525
"474","Giant land crab","Puerto Rico",14.96,526
"3","Mediterranean shore crab","Albania",14,527
"701","Coconut crab","Wallis and Futuna Is.",14,528
"84","Palinurid spiny lobsters nei","Channel Islands",13,529
"176","Subantarctic stone crab","Falkland Is.(Malvinas)",12.64,530
"673","Nimble spray crab","United States of America",12,531
"236","Tropical spiny lobsters nei","Guam",11.85,532
"62","Blue swimming crab","Brunei Darussalam",11.84,533
"404","Pacific golden crab","New Zealand",11.73,534
"422","Tropical spiny lobsters nei","Northern Mariana Is.",11.54,535
"175","Southern lobsterette","Falkland Is.(Malvinas)",11,536
"613","European lobster","Tunisia",11,537
"2","European lobster","Albania",10,538
"147","Spinous spider crab","Denmark",10,539
"550","Craylets, squat lobsters nei","Spain",9.48,540
"18","Batwing coral crab","Antigua and Barbuda",9,541
"291","Mediterranean slipper lobster","Israel",9,542
"354","Marine crustaceans nei","Malta",9,543
"487","Globose king crab","Russian Federation",9,544
"590","Marine crustaceans nei","Sweden",9,545
"644","King crabs, stone crabs nei","United Kingdom",8.02,546
"88","Chilean jagged lobster","Chile",8,547
"486","Chinese mitten crab","Russian Federation",8,548
"63","Lobsters nei","Brunei Darussalam",7.99,549
"215","Green crab","Germany",6.95,550
"36","Portly spider crab","Bahamas",6,551
"465","Mozambique lobster","Portugal",6,552
"268","Common spiny lobster","Ireland",5.89,553
"432","Stone king crab","Norway",5.86,554
"281","Spiny lobsters nei","Ireland",5.44,555
"138","Mediterranean slipper lobster","Cyprus",5.02,556
"614","Marine crustaceans nei","Tunisia",5,557
"274","King crabs, stone crabs nei","Ireland",4.69,558
"691","Marine crabs nei","US Virgin Islands",4.57,559
"364","Royal spiny lobster","Mauritania",4.02,560
"20","Spanish slipper lobster","Antigua and Barbuda",4,561
"288","Velvet swimcrab","Isle of Man",4,562
"542","Subantarctic stone crab","South Africa",4,563
"189","Lesser slipper lobster","France",3.9,564
"411","Velvet fan lobster","New Zealand",3.53,565
"401","King crabs, stone crabs nei","New Zealand",3.06,566
"148","Stone king crab","Denmark",3,567
"172","Spiny lobsters nei","Eritrea",3,568
